"Unique_ID","ECOG_0","ECOG_1","ECOG_2","ECOG_3","ECOG_4","N_Patient","Pub_Year","FRAC_MALE","AGE_MED","Prop_Visceral","OS","PFS","Arm.Name","Title","Arm_Type","Rand_Group"
"KAUFM1109_T2",NA,NA,0,0,0,104,2009,0,54,NA,23.9,2.4,"Anastrozole Alone","Trastuzumab Plus Anastrozole Versus Anastrozole Alone for the Treatment of Postmenopausal Women With Human Epidermal Growth Factor Receptor 2-Positive, Hormone Receptor-Positive Metastatic Breast Cancer: Results From the Randomized Phase III TAnDEM Study","control",""
"LANG0213_T1",0.68,0.26,0.05,0,0,285,2013,0.004,59,0.65,30.2,10.9,"Bevacizumab plus paclitaxel","Bevacizumab plus paclitaxel versus bevacizumab plus capecitabine as first-line treatment for HER2-negative metastatic breast cancer: interim efficacy results of the randomised, open-label, non-inferiority, phase 3 TURANDOT trial","control",""
"LANG0213_T2",0.65,0.33,0.03,0,0,279,2013,0.014,59,0.73,26.1,8.1,"Bevacizumab plus capecitabine","Bevacizumab plus paclitaxel versus bevacizumab plus capecitabine as first-line treatment for HER2-negative metastatic breast cancer: interim efficacy results of the randomised, open-label, non-inferiority, phase 3 TURANDOT trial","experiment",""
"LANGR1105_T1",0.34,0.49,0.16,0.02,0,353,2005,0,55,0.65,13,7,"EP","Phase III Trial of Epirubicin Plus Paclitaxel Compared With Epirubicin Plus Cyclophosphamide As First-Line Chemotherapy for Metastatic Breast Cancer: United Kingdom National Cancer Research Institute Trial AB01","experiment",""
"LANGR1105_T2",0.35,0.49,0.14,0.02,0,352,2005,0,54,0.65,14,7.1,"EC","Phase III Trial of Epirubicin Plus Paclitaxel Compared With Epirubicin Plus Cyclophosphamide As First-Line Chemotherapy for Metastatic Breast Cancer: United Kingdom National Cancer Research Institute Trial AB01","control",""
"LEO1010_T1",NA,NA,NA,NA,NA,361,2010,0,61,0.66,26.4,6.5,"Fulvestrant 500 mg","Results of the CONFIRM Phase III Trial Comparing Fulvestrant 250 mg With Fulvestrant 500 mg in Postmenopausal Women With Estrogen Receptor-Positive Advanced Breast Cancer","experiment",""
"LEO1010_T2",NA,NA,NA,NA,NA,374,2010,0,61,0.62,22.3,5.5,"Fulvestrant 250 mg","Results of the CONFIRM Phase III Trial Comparing Fulvestrant 250 mg With Fulvestrant 500 mg in Postmenopausal Women With Estrogen Receptor-Positive Advanced Breast Cancer","control",""
"MAVRO0110_T1",0.551,0.426,0.022,0,0,136,2010,0,60.5,NA,37.6,NA,"DE","Randomized phase III trial comparing docetaxel plus epirubicin versus docetaxel plus capecitabine as first-line treatment in women with advanced breast cancer","control",""
"MAVRO0110_T2",0.485,0.485,0.029,0,0,136,2010,0,63,NA,35.7,NA,"DC","Randomized phase III trial comparing docetaxel plus epirubicin versus docetaxel plus capecitabine as first-line treatment in women with advanced breast cancer","experiment",""
"MEHTA0812_T1",NA,NA,NA,0,0,345,2012,0,65,0.484,42,13.5,"Anastrozole alone","Combination anastrozole and fulvestrant in metastatic breast cancer","control",""
"MEHTA0812_T2",NA,NA,NA,0,0,349,2012,0,65,0.519,49.8,15,"Anastrozole and Fulvestrant","Combination anastrozole and fulvestrant in metastatic breast cancer","experiment",""
"MILES0117_T1",0.585,0.415,0,0,0,242,2017,NA,56,NA,25.8,8.8,"Placebo-paclitaxel","Bevacizumab plus paclitaxel versus placebo plus paclitaxel as first-line therapy for HER2-negative metastatic breast cancer (MERiDiAN): A double-blind placebo-controlled randomised phase III trial with prospective biomarker evaluation","control",""
"MILES0117_T2",0.515,0.485,0,0,0,239,2017,NA,55,NA,28.8,11,"Bevacizumab + paclitaxel","Bevacizumab plus paclitaxel versus placebo plus paclitaxel as first-line therapy for HER2-negative metastatic breast cancer (MERiDiAN): A double-blind placebo-controlled randomised phase III trial with prospective biomarker evaluation","experiment",""
"MILLN1207_T1",NA,NA,0,0,0,347,2007,0,56,0.795,26.7,11.8,"Paclitaxel plus Bevacizumab","Paclitaxel plus Bevacizumab versus Paclitaxel Alone for Metastatic Breast Cancer","experiment",""
"MILLN1207_T2",NA,NA,0,0,0,326,2007,0,55,0.871,25.2,5.9,"Paclitaxel","Paclitaxel plus Bevacizumab versus Paclitaxel Alone for Metastatic Breast Cancer","control",""
"MILLO0205_T1",0.5,0.5,0,0,0,230,2005,0,52,0.8,14.5,4.17,"Capecitabine","Randomized Phase III Trial of Capecitabine Compared With Bevacizumab Plus Capecitabine in Patients With Previously Treated Metastatic Breast Cancer","control",""
"MILLO0205_T2",0.504,0.491,0.004,0,0,232,2005,0,51,0.776,15.1,4.86,"Capecitabine + Bevacizumab","Randomized Phase III Trial of Capecitabine Compared With Bevacizumab Plus Capecitabine in Patients With Previously Treated Metastatic Breast Cancer","experiment",""
"MUSS0385_T1",0.33,0.54,0.09,0.03,0.01,69,1988,NA,63,NA,25.7,NA,"Megestrol Acetate","Megestrol Acetate Versus Tamoxifen in Advanced Breast Cancer: 5-Year Analysis-A Phase III Trial of the Piedmont Oncology Association","experiment",""
"MUSS0385_T2",0.22,0.57,0.15,0.04,0.01,67,1988,NA,62,NA,36,NA,"Tamoxifen ","Megestrol Acetate Versus Tamoxifen in Advanced Breast Cancer: 5-Year Analysis-A Phase III Trial of the Piedmont Oncology Association","control",""
"NAMER0601_T1",0.59,0.31,0.09,0,0,138,2001,0,60,0.81,20,7,"FAC or FEC","Results of a phase III prospective, randomised trial, comparing mitoxantrone and vinorelbine (MV) in combination with standard FAC/FEC in front-line therapy of metastatic breast cancer","control",""
"NAMER0601_T2",0.53,0.39,0.08,0,0,142,2001,0,60,0.83,17,7,"MV","Results of a phase III prospective, randomised trial, comparing mitoxantrone and vinorelbine (MV) in combination with standard FAC/FEC in front-line therapy of metastatic breast cancer","experiment",""
"NIELS0600_T1",NA,NA,NA,NA,0,81,2000,0,52,NA,15.2,NA,"Epirubicin","Epirubicin or epirubicin and cisplatin as first-line therapy in advanced breast cancer. A phase III study","control",""
"NIELS0600_T2",NA,NA,NA,NA,0,74,2000,0,55,NA,20.6,NA,"Epirubicin + cisplatin","Epirubicin or epirubicin and cisplatin as first-line therapy in advanced breast cancer. A phase III study","experiment",""
"NIELS1211_T1",NA,NA,0.109,0.006,0,170,2011,0,58,0.612,19.7,NA,"Gemcitabine + Docetaxel","Gemcitabine plus docetaxel versus docetaxel in patients with predominantly human epidermal growth factor receptor 2-negative locally advanced or metastatic breast cancer: a randomized, phase III study by the Danish Breast Cancer Cooperative Group","experiment",""
"NIELS1211_T2",NA,NA,0.128,0,0,167,2011,0,58,0.533,17.9,NA,"Docetaxel","Gemcitabine plus docetaxel versus docetaxel in patients with predominantly human epidermal growth factor receptor 2-negative locally advanced or metastatic breast cancer: a randomized, phase III study by the Danish Breast Cancer Cooperative Group","control",""
"OBRIE0304_T1",0.539,0.37,0.09,0,0,254,2004,0,59,0.586,21,6.9,"PLD","Reduced cardiotoxicity and comparable efficacy in a phase III trial of pegylated liposomal doxorubicin HCl (CAELYX/Doxil) versus conventional doxorubicin for first-line treatment of metastatic breast cancer","experiment",""
"OBRIE0304_T2",0.49,0.396,0.109,0,0,255,2004,0,58,0.56,22,7.8,"Doxorubicin","Reduced cardiotoxicity and comparable efficacy in a phase III trial of pegylated liposomal doxorubicin HCl (CAELYX/Doxil) versus conventional doxorubicin for first-line treatment of metastatic breast cancer","control",""
"OSHAU0901_T1",NA,NA,NA,NA,NA,61,2001,0,69,NA,19.6,NA,"Capecitabine","Randomized, open-label, phase II trial of oral capecitabine (Xeloda) vs. a reference arm of intravenous CMF (cyclophosphamide, methotrexate and 5-fluorouracil) as first-line therapy for advanced/metastatic breast cancer","experiment",""
"OSHAU0901_T2",NA,NA,NA,NA,NA,32,2001,0,70,NA,17.2,NA,"CMF","Randomized, open-label, phase II trial of oral capecitabine (Xeloda) vs. a reference arm of intravenous CMF (cyclophosphamide, methotrexate and 5-fluorouracil) as first-line therapy for advanced/metastatic breast cancer","control",""
"OSHAU0602_T1",NA,NA,NA,NA,NA,255,2002,0,52,NA,14.5,NA,"Capecitabine / Docetaxel","Superior Survival With Capecitabine Plus Docetaxel Combination Therapy in Anthracycline-Pretreated Patients With Advanced Breast Cancer: Phase III Trial Results","experiment",""
"OSHAU0602_T2",NA,NA,NA,NA,NA,256,2002,0,51,NA,11.5,NA,"Docetaxel","Superior Survival With Capecitabine Plus Docetaxel Combination Therapy in Anthracycline-Pretreated Patients With Advanced Breast Cancer: Phase III Trial Results","control",""
"OSHAU0111_T1",0.7,0.3,0,0,0,61,2011,0,56,NA,12.3,5.9,"Gemcitabine-Carboplatin and Iniparib","Iniparib plus chemotherapy in metastatic triple-negative breast cancer","experiment",""
"OSHAU0111_T2",0.68,0.32,0,0,0,62,2011,0,53,NA,7.7,3.6,"Gemcitabine-Carboplatin Alone","Iniparib plus chemotherapy in metastatic triple-negative breast cancer","control",""
"PACIL0506_T1",0.62,0.35,0.04,0,0,26,2006,0,51,0.54,18,NA,"ED","Is epirubicin effective in first-line chemotherapy of metastatic breast cancer (MBC) after an epirubicin-containing adjuvant treatment? A single centre phase III trial","experiment",""
"PACIL0506_T2",0.64,0.36,0,0,0,25,2006,0,51,0.6,21,NA,"D","Is epirubicin effective in first-line chemotherapy of metastatic breast cancer (MBC) after an epirubicin-containing adjuvant treatment? A single centre phase III trial","control",""
"PAGAN0217_T1",NA,NA,0.01,0,0,86,2017,0,53,0.67,35.6,NA,"Arm A","Do all patients with advanced HER2 positive breast cancer need upfront-chemo when receiving trastuzumab? Randomized phase III trial SAKK 22/99","experiment",""
"PAGAN0217_T2",NA,NA,0,0,0,87,2017,0,57,0.65,36.3,NA,"Arm B","Do all patients with advanced HER2 positive breast cancer need upfront-chemo when receiving trastuzumab? Randomized phase III trial SAKK 22/99","control",""
"PALLI0512_T1",0.419,0.541,0.041,0,0,74,2012,0,60,NA,20.4,5.4,"VG","A multicenter randomized phase III trial of vinorelbine/gemcitabine doublet versus capecitabine monotherapy in anthracycline- and taxane-pretreated women with metastatic breast cancer","experiment",""
"PALLI0512_T2",0.378,0.527,0.095,0,0,74,2012,0,60,NA,22.4,5.2,"Cap","A multicenter randomized phase III trial of vinorelbine/gemcitabine doublet versus capecitabine monotherapy in anthracycline- and taxane-pretreated women with metastatic breast cancer","control",""
"PAPAD0309_T1",0.71,0.21,0.09,0,0,30,2009,0,57,NA,28,NA,"Docetaxel","Weekly Docetaxel with or without Gemcitabine as Second-Line Chemotherapy in Paclitaxel-Pretreated Patients with Metastatic Breast Cancer: A Randomized Phase II Study Conducted by the Hellenic Co-Operative Oncology Group","control",""
"PAPAD0309_T2",0.56,0.37,0.07,0,0,39,2009,0,57,NA,14,NA,"Docetaxel + gemcitabine","Weekly Docetaxel with or without Gemcitabine as Second-Line Chemotherapy in Paclitaxel-Pretreated Patients with Metastatic Breast Cancer: A Randomized Phase II Study Conducted by the Hellenic Co-Operative Oncology Group","experiment",""
"PARIT0200_T1",0.42,0.5,0.08,0,0,166,2000,0,54,0.78,15.6,3.9,"Paclitaxel","Paclitaxel Versus Doxorubicin as First-Line Single-Agent Chemotherapy for Metastatic Breast Cancer: A European Organization for Research and Treatment of Cancer Randomized Study With Cross-Over","experiment",""
"PARIT0200_T2",0.41,0.5,0.09,0,0,165,2000,0,55,0.75,18.3,7.5,"Doxorubicin","Paclitaxel Versus Doxorubicin as First-Line Single-Agent Chemotherapy for Metastatic Breast Cancer: A European Organization for Research and Treatment of Cancer Randomized Study With Cross-Over","control",""
"PARK0513_T1",0.504,0.478,0.017,0,0,116,2013,0,48,0.698,32.3,7.5,"Maintenance","Phase III, Multicenter, Randomized Trial of Maintenance Chemotherapy Versus Observation in Patients With Metastatic Breast Cancer After Achieving Disease Control With Six Cycles of Gemcitabine Plus Paclitaxel As First-Line Chemotherapy: KCSG-BR07-02","experiment",""
"PARK0513_T2",0.491,0.491,0.017,0,0,115,2013,0,47,0.643,23.5,3.8,"Observation","Phase III, Multicenter, Randomized Trial of Maintenance Chemotherapy Versus Observation in Patients With Metastatic Breast Cancer After Achieving Disease Control With Six Cycles of Gemcitabine Plus Paclitaxel As First-Line Chemotherapy: KCSG-BR07-02","control",""
"PARK1117_T1",0.424,0.509,0.068,0,0,59,2017,0,50,0.746,21.2,9.6,"EG","Phase II, multicentre, randomised trial of eribulin plus gemcitabine versus paclitaxel plus gemcitabine as first-line chemotherapy in patients with HER2-negative metastatic breast cancer","experiment",""
"PARK1117_T2",0.441,0.525,0.034,0,0,59,2017,0,50,0.712,NA,12.6,"PG","Phase II, multicentre, randomised trial of eribulin plus gemcitabine versus paclitaxel plus gemcitabine as first-line chemotherapy in patients with HER2-negative metastatic breast cancer","control",""
"PAVES0395_T1",0.493,0.437,0.07,0,0,78,1995,0,NA,0.211,19,NA,"FEC","Epirubicin versus Mitoxantrone in Combination Chemotherapy for Metastatic Breast Cancer","experiment",""
"PAVES0395_T2",0.486,0.429,0.086,0,0,74,1995,0,NA,0.214,15.5,NA,"FNC","Epirubicin versus Mitoxantrone in Combination Chemotherapy for Metastatic Breast Cancer","control",""
"POWLE0684_T1",NA,NA,NA,NA,NA,111,1984,0,NA,NA,10,NA,"TAD","Treatment of Disseminated Breast Cancer with Tamoxifen, Aminoglutethimide, Hydrocortisone, and Danazol, Used in Combination or Sequentially","experiment",""
"POWLE0684_T2",NA,NA,NA,NA,NA,111,1984,0,NA,NA,10,NA,"T","Treatment of Disseminated Breast Cancer with Tamoxifen, Aminoglutethimide, Hydrocortisone, and Danazol, Used in Combination or Sequentially","control",""
"RIVER0408_T1",NA,NA,NA,0,0,62,2008,NA,56,NA,18.3,5.7,"Every-3-week treatment arm","Phase 3 Study Comparing the Use of Docetaxel on an Every-3-week Versus Weekly Schedule in the Treatment of Metastatic Breast Cancer","control",""
"RIVER0408_T2",NA,NA,NA,0,0,63,2008,NA,54,NA,18.6,5.5,"Weekly treatment arm","Phase 3 Study Comparing the Use of Docetaxel on an Every-3-week Versus Weekly Schedule in the Treatment of Metastatic Breast Cancer","experiment",""
"ROBER0606_T1",0.6,0.36,0.04,0,0,98,2006,0,55,0.53,35.7,10.7,"TPC","Randomized Phase III Study of Trastuzumab, Paclitaxel, and Carboplatin Compared With Trastuzumab and Paclitaxel in Women With HER-2-Overexpressing Metastatic Breast Cancer","experiment",""
"ROBER0606_T2",0.61,0.36,0.03,0,0,98,2006,0,56,0.4,32.2,7.1,"TP","Randomized Phase III Study of Trastuzumab, Paclitaxel, and Carboplatin Compared With Trastuzumab and Paclitaxel in Women With HER-2-Overexpressing Metastatic Breast Cancer","control",""
"ROBER0411_T1",0.56,0.432,0.008,0,0,242,2011,NA,57,NA,17.6,7.4,"Sunitinib + Paclitaxel","Sunitinib plus paclitaxel versus bevacizumab plus paclitaxel for first-line treatment of patients with advanced breast cancer: a phase III, randomized, open-label trial","experiment",""
"ROBER0411_T2",0.59,0.39,0.02,0,0,243,2011,NA,57,NA,NA,9.2,"Bevacizumab + Paclitaxel","Sunitinib plus paclitaxel versus bevacizumab plus paclitaxel for first-line treatment of patients with advanced breast cancer: a phase III, randomized, open-label trial","control",""
"SJOST0899_T1",0.32,0.57,0.12,0,0,143,1999,0,50,0.73,10.4,NA,"Docetaxel","Docetaxel Compared with Sequential Methotrexate and 5-Fluorouracil in Patients with Advanced Breast Cancer after Anthracycline Failure: a Randomised Phase III Study with Crossover on Progression by the Scandinavian Breast Group","experiment",""
"SJOST0899_T2",0.27,0.57,0.16,0,0,139,1999,0,51,0.69,11,NA,"MF","Docetaxel Compared with Sequential Methotrexate and 5-Fluorouracil in Patients with Advanced Breast Cancer after Anthracycline Failure: a Randomised Phase III Study with Crossover on Progression by the Scandinavian Breast Group","control",""
"SLAMO0301_T1",NA,NA,NA,NA,NA,143,2001,0,54,0.76,26.8,NA,"An Anthracycline, Cyclophosphamide, and Trastuzumab","Use of Chemotherapy Plus a Monoclonal Antibody Against HER2 for Metastatic Breast Cancer that Overexpresses HER2","experiment","A"
"SLAMO0301_T2",NA,NA,NA,NA,NA,138,2001,0,54,0.71,21.4,NA,"An Anthracycline and Cyclophosphamide Alone","Use of Chemotherapy Plus a Monoclonal Antibody Against HER2 for Metastatic Breast Cancer that Overexpresses HER2","control","A"
"SLAMO0301_T3",NA,NA,NA,NA,NA,92,2001,0,51,0.65,22.1,NA,"Paclitaxel and Trastuzumab","Use of Chemotherapy Plus a Monoclonal Antibody Against HER2 for Metastatic Breast Cancer that Overexpresses HER2","experiment","B"
"SLAMO0301_T4",NA,NA,NA,NA,NA,96,2001,0,51,0.71,18.4,NA,"Paclitaxel Alone","Use of Chemotherapy Plus a Monoclonal Antibody Against HER2 for Metastatic Breast Cancer that Overexpresses HER2","control","B"
"SPARA1204_T1",0.65,0.35,0,0,0,114,2004,0,56,NA,24.7,4.7,"Marimastat","Randomized Phase III Trial of Marimastat Versus Placebo in Patients With Metastatic Breast Cancer Who Have Responding or Stable Disease After First-Line Chemotherapy: Eastern Cooperative Oncology Group Trial E2196","experiment",""
"SPARA1204_T2",0.42,0.58,0,0,0,65,2004,0,58,NA,26.6,3.1,"Placebo","Randomized Phase III Trial of Marimastat Versus Placebo in Patients With Metastatic Breast Cancer Who Have Responding or Stable Disease After First-Line Chemotherapy: Eastern Cooperative Oncology Group Trial E2196","control",""
"SPARA0909_T1",0.43,0.5,0.08,0,0,373,2009,0,51.8,NA,20.6,7,"Docetaxel ","Pegylated Liposomal Doxorubicin Plus Docetaxel Significantly Improves Time to Progression Without Additive Cardiotoxicity Compared With Docetaxel Monotherapy in Patients With Advanced Breast Cancer Previously Treated With Neoadjuvant-Adjuvant Anthracycline Therapy: Results From a Randomized Phase III Study","control",""
"SPARA0909_T2",0.42,0.5,0.08,0,0,377,2009,0,52.5,NA,20.5,9.8,"PLD + Docetaxel","Pegylated Liposomal Doxorubicin Plus Docetaxel Significantly Improves Time to Progression Without Additive Cardiotoxicity Compared With Docetaxel Monotherapy in Patients With Advanced Breast Cancer Previously Treated With Neoadjuvant-Adjuvant Anthracycline Therapy: Results From a Randomized Phase III Study","experiment",""
"SPARA0710_T1",NA,NA,NA,NA,NA,595,2010,0,53,NA,16.4,6.2,"Ixabepilone Plus Capecitabine","Randomized Phase III Trial of Ixabepilone Plus Capecitabine Versus Capecitabine in Patients With Metastatic Breast Cancer Previously Treated With an Anthracycline and a Taxane","experiment",""
"SPARA0710_T2",NA,NA,NA,NA,NA,603,2010,0,53,NA,15.6,4.4,"Capecitabine","Randomized Phase III Trial of Ixabepilone Plus Capecitabine Versus Capecitabine in Patients With Metastatic Breast Cancer Previously Treated With an Anthracycline and a Taxane","control",""
"STEMM0310_T1",NA,NA,NA,NA,NA,48,2010,0,73,NA,22.7,NA,"q1w","Prospective Multicenter Randomized Phase III Study of Weekly versus Standard Docetaxel (D2) for First-Line Treatment of Metastatic Breast Cancer","experiment",""
"STEMM0310_T2",NA,NA,NA,NA,NA,54,2010,0,70.5,NA,15.8,NA,"q3w","Prospective Multicenter Randomized Phase III Study of Weekly versus Standard Docetaxel (D2) for First-Line Treatment of Metastatic Breast Cancer","control",""
"STEMM0310b_T1",NA,NA,NA,NA,NA,43,2010,0,54,NA,20.5,NA,"q1w","Prospective multicenter randomized phase III study of weekly versus standard docetaxel plus doxorubicin (D4) for first-line treatment of metastatic breast cancer","experiment",""
"STEMM0310b_T2",NA,NA,NA,NA,NA,42,2010,0,56,NA,28.7,NA,"q3w","Prospective multicenter randomized phase III study of weekly versus standard docetaxel plus doxorubicin (D4) for first-line treatment of metastatic breast cancer","control",""
"VALER0111_T1",NA,NA,NA,NA,NA,131,2011,0,52,0.664,37.1,NA,"TH","Multicenter Phase III Randomized Trial Comparing Docetaxel and Trastuzumab With Docetaxel, Carboplatin, and Trastuzumab As First-Line Chemotherapy for Patients With HER2-Gene-Amplified Metastatic Breast Cancer (BCIRG 007 Study): Two Highly Active Therapeutic Regimens","control",""
"VALER0111_T2",NA,NA,NA,NA,NA,132,2011,0,51,0.583,37.4,NA,"TCH","Multicenter Phase III Randomized Trial Comparing Docetaxel and Trastuzumab With Docetaxel, Carboplatin, and Trastuzumab As First-Line Chemotherapy for Patients With HER2-Gene-Amplified Metastatic Breast Cancer (BCIRG 007 Study): Two Highly Active Therapeutic Regimens","experiment",""
"VERMA1112_T1",0.64,0.36,0,0,0,488,2012,NA,53,0.68,25.9,6.4,"Lapatinib plus Capecitabine","Trastuzumab Emtansine for HER2-Positive Advanced Breast Cancer","control",""
"VERMA1112_T2",0.61,0.39,0,0,0,490,2012,NA,53,0.67,29.9,9.6,"T-DM1","Trastuzumab Emtansine for HER2-Positive Advanced Breast Cancer","experiment",""
"WILDI0910_T1",0.267,0.733,0,0,0,36,2010,0,58,0.86,12,2.8,"Arm A (Sunitinib)","Multicenter phase II randomized trial evaluating antiangiogenic therapy with sunitinib as consolidation after objective response to taxane chemotherapy in women with HER2-negative metastatic breast cancer.","experiment",""
"WILDI0910_T2",0.5,0.5,0,0,0,19,2010,0,59,0.74,18.9,3.1,"Arm B (No therapy)","Multicenter phase II randomized trial evaluating antiangiogenic therapy with sunitinib as consolidation after objective response to taxane chemotherapy in women with HER2-negative metastatic breast cancer.","control",""
"WOLFF0113_T1",NA,NA,NA,NA,NA,555,2013,0,63,NA,NA,8.9,"Letrozole Plus Temsirolimus","Randomized phase III placebo-controlled trial of letrozole plus oral temsirolimus as first-line endocrine therapy in postmenopausal women with locally advanced or metastatic breast cancer","experiment",""
"WOLFF0113_T2",NA,NA,NA,NA,NA,555,2013,0,63,NA,NA,9,"Letrozole Plus Placebo","Randomized phase III placebo-controlled trial of letrozole plus oral temsirolimus as first-line endocrine therapy in postmenopausal women with locally advanced or metastatic breast cancer","control",""
"YAMAM0217_T1",0.817,0.183,0,0,0,82,2017,0,56.5,NA,33.8,10.5,"XT","Efficacy and safety of low-dose capecitabine plus docetaxel versus single-agent docetaxel in patients with anthracycline- pretreated HER2-negative metastatic breast cancer: results from the randomized phase III JO21095 trial","experiment",""
"YAMAM0217_T2",0.765,0.235,0,0,0,81,2017,0,57,NA,28.8,9.8,"T -> X","Efficacy and safety of low-dose capecitabine plus docetaxel versus single-agent docetaxel in patients with anthracycline- pretreated HER2-negative metastatic breast cancer: results from the randomized phase III JO21095 trial","control",""
"ZHANG0317_T1",0.34,0.638,0.022,0,0,270,2017,0,50,0.803,16.13,8.44,"Utidelone plus capecitabine","Utidelone plus capecitabine versus capecitabine alone for heavily pretreated metastatic breast cancer refractory to anthracyclines and taxanes: a multicentre, open-label, superiority, phase 3, randomised controlled trial","experiment",""
"ZHANG0317_T2",0.291,0.679,0.03,0,0,135,2017,0,50,0.821,12.78,4.27,"Capecitabine alone","Utidelone plus capecitabine versus capecitabine alone for heavily pretreated metastatic breast cancer refractory to anthracyclines and taxanes: a multicentre, open-label, superiority, phase 3, randomised controlled trial","control",""
